ch,tag,i,id,title,views,age,vpd,date
InkExplainer,L,3,6TzPQ0046lw,What did Early Humans do when they got Sick,25548,93,274.7096774193548,20260507
InkExplainer,L,4,ulWFk_L2Ips,what is The IKEA Effect.,6972,102,68.3529411764706,20260428
Mack,W,1,C27Dd23jZzA,When Did Ancient Humans Start Smoking?,1694495,76,22295.986842105263,20260524
Mack,W,2,th-0rmRYBSg,Why Ancient Humans Went From Black to White?,1032078,58,17794.44827586207,20260611
Mack,W,3,pPm3vHUQCpo,How Did Ancient Humans Survive Endless Rain?,355438,26,13670.692307692309,20260713
Mack,W,4,z1StpnRL4k4,How Did Humans Invent Guns?,451251,39,11570.538461538461,20260630
Mack,L,1,jPAnTFbP9Eg,How Did Ancient Humans Handle Hunger?,8340,41,203.41463414634146,20260628
Mack,L,2,dYQqeO8B-OU,Do Animals Treat Babies Differently?,5489,38,144.44736842105263,20260701
Mack,L,3,MJXmEmJpkQ0,What Animal Will Humans Domesticate Next?,7140,50,142.8,20260619
Mack,L,4,lWQX75AZrNE,Why Ancient Humans Would Have Died Without Animals?,6094,49,124.36734693877551,20260620
Mogo,W,1,DODEMV7rRGQ,Why Don’t We Eat Other Animal Eggs?,368082,25,14723.28,20260714
Mogo,W,2,z9aXFTGLLSQ,How Did Ancient Humans Survive Endless Rain?,158328,40,3958.2,20260629
Mogo,W,3,gE7fPOkZ_GE,Do Wild Animals See Humans As Weak?,35817,10,3581.7,20260729
Mogo,W,4,li37vjoH5ss,"What Did Ancient Humans Do During the 100,000 Missing Years?",18917,6,3152.8333333333335,20260802
Mogo,L,1,A-dAU9lhoLE,How Did Ancient Humans Keep Their Kids Alive?,1357,48,28.270833333333332,20260621
Mogo,L,2,l4Kar5srFG8,Why Do Humans Forget Their Dreams?,277,12,23.083333333333332,20260727
Mogo,L,3,v3CPireisCs,Why Did 95% Of Ancient Men Disappear?,702,37,18.972972972972972,20260702
Mogo,L,4,nXIqBK_vfOc,Where Are You When You Dream?,567,36,15.75,20260703
MrHell,W,1,w2Jwyr7Mxqo,What Did Ancient Humans Really Do at Night?,419883,78,5383.115384615385,20260522
MrHell,W,2,mzHPYDkuuwk,How Did Ancient Humans Actually Find Love?,4235,74,57.229729729729726,20260526
MrHell,W,3,0fGcgGFVQpU,What Ancient Humans Did When Someone Died,3268,64,51.0625,20260605
MrHell,W,4,sCsZkZFALOY,What Did Ancient Humans Hide In Your DNA?,2165,44,49.20454545454545,20260625
MrHell,L,1,ekXHcChpTVY,"What Happens if You Break the Law 50,000 Years Ago?",1755,60,29.25,20260609
MrHell,L,2,fuj4MciCBFU,How Did Ancient Humans Survive Ancient Dentistry?,1509,56,26.946428571428573,20260613
MrHell,L,3,iFNkESZdem8,How Did Ancient Humans Accidentally Create Dogs?,1268,48,26.416666666666668,20260621
MrHell,L,4,EjhmsvQbpqw,What Did Ancient Humans Do After Drinking Alcohol?,1719,80,21.4875,20260520
Myrk,W,1,EPfpPFBJ-6g,Why are animals afraid of humans?,337806,66,5118.272727272727,20260603
Myrk,W,2,tgRTXVq6lsg,Why Did Humans Start Cooking Everything?,40603,69,588.4492753623189,20260531
Myrk,W,3,w0gWjlux1Kw,Why Humans Can’t Eat Raw Meat?,4664,10,466.4,20260729
Myrk,W,4,smu2rwPud7M,How Ancient Humans Survived Every Apex Predators?,27895,78,357.62820512820514,20260522
Myrk,L,1,GuMmUMOzgyc,why can't Humans drink other animal's milk?,47,2,23.5,20260806
Myrk,L,2,DYPwbEOcBGU,How Humans Became The Ultimate Predators,226,14,16.142857142857142,20260725
Myrk,L,3,Uqum-HLZTX4,Why predators never eat other predators ?,61,6,10.166666666666666,20260802
Myrk,L,4,2MRyY8EuUg0,Which Fish Did Human Evolve from?,31,11,2.8181818181818183,20260728
NeonRush,W,1,ZNZPOg2X1l4,How Did Humans Invent War?,38337,2,19168.5,20260806
NeonRush,W,2,vh2TNc7ASiw,How Did Humans Invent Countries?,124545,8,15568.125,20260731
NeonRush,W,3,zWYwsEHEtPw,How Did Humans Invent Bread?,58765,5,11753.0,20260803
NeonRush,W,4,t3OMpidVBrU,How Did Humans Invent Swords?,159715,15,10647.666666666666,20260724
NeonRush,L,1,ItbPmWAyepc,Why Do Animals Remember Humans for Years?,190,35,5.428571428571429,20260704
NeonRush,L,2,YNO1sE9xiT0,Why You Can't Tickle Yourself?,299,77,3.883116883116883,20260523
NeonRush,L,3,HIPZC8VnmRo,Why Humans Take Forever to Grow Up?,255,74,3.445945945945946,20260526
NeonRush,L,4,bVrjsVcauoo,Why Do Humans have different Races?,208,70,2.9714285714285715,20260530
PaintItSimple,W,1,tpfo9tRWQy4,The CRAZIEST Survival Methods Used by Ancient Humans During Ice Age,1930169,99,19496.656565656565,20260501
PaintItSimple,W,2,y108qCOMOqk,How Did Ancient Humans Lose Their Dark Skin?,291240,81,3595.5555555555557,20260519
PaintItSimple,W,3,bnIoEkb0tos,What Did Ancient Humans Use to Hunt Giants?,158195,94,1682.9255319148936,20260506
PaintItSimple,L,1,LbzqaF6YfKE,What Did Ancient Humans Do When They Met Other Human Species,2539,27,94.03703703703704,20260712
PaintItSimple,L,2,JvaPr4sBb80,The Craziest Communication Methods Used by Ancient Humans,6471,101,64.06930693069307,20260429
PaintItSimple,L,3,BA0-xvp1-y0,What Did Ancient Humans Do to Preserve Food?,1060,29,36.55172413793103,20260710
PrimalGlitch,W,1,bNuHO-sk2ec,Why Ancient Humans Couldn't Sleep Without Dogs?,37939,9,4215.444444444444,20260730
PrimalGlitch,W,2,210hM28xH-c,Why Ancient Humans Would've Died Without Dogs?,277969,70,3970.9857142857145,20260530
PrimalGlitch,W,3,6UDdgu4kZDs,Why Wolves Chose Ancient Humans,120046,52,2308.576923076923,20260617
PrimalGlitch,W,4,fb1IMjJ2Tw8,How Cats Domesticated Ancient Humans (And Still Do),87131,62,1405.3387096774193,20260607
PrimalGlitch,L,1,NBgIOzYvWCI,How Did Ancient Humans Live Without Privacy?,4742,94,50.4468085106383,20260506
PrimalGlitch,L,2,7CrWvypXzrM,Were Ancient Humans Immune To Cancer?,2611,55,47.472727272727276,20260614
PrimalGlitch,L,3,4lTMMj7sBBk,How Ancient Humans Accidentally Invented Guns,1190,34,35.0,20260705
PrimalGlitch,L,4,1vHHI4pThVA,Why Ancient Humans Couldn't Domesticate Zebras Like Horses?,49,3,16.333333333333332,20260805
Rune,W,1,i227BEQ0jj4,What Did Ancient Humans Do When They Were Bored?,142867,102,1400.6568627450981,20260428
Rune,W,2,eoVPdxAVqmY,How Did Ancient Humans Actually Flirt?,29516,92,320.82608695652175,20260508
Rune,W,3,TtKzsZve-i4,Did Ancient Humans Have Favorite Foods?,1765,54,32.68518518518518,20260615
Rune,W,4,tp5BJ7NXizs,Why Ancient Humans Would Dominate the Modern Olympics,2305,72,32.013888888888886,20260528
Rune,L,1,tKdM6TC1Mwg,How Did Ancient Romans Actually Fall in Love?,153,47,3.25531914893617,20260622
Rune,L,2,Cw__6tcUQlE,How Ancient Humans Became Apex Predators,64,25,2.56,20260714
Rune,L,3,e3xpCF9s3_c,How Cats Slowly Conquered Humanity,95,58,1.6379310344827587,20260611
Rune,L,4,hCK1r5NR7Sw,Why Do We Actually Clap Our Hands?,48,32,1.5,20260707
SimplyAStickman,W,1,wpPNBdR5-ng,Why Ancient People With ADHD Were Better Survivors,238767,90,2652.9666666666667,20260510
SimplyAStickman,W,2,fEMPs_GhJ8U,Why Ancient Tribes Needed Autistic Minds?,62292,73,853.3150684931506,20260527
SimplyAStickman,W,3,sGvLhIiQaJg,Why Groups Reject Most Useful Member,3367,12,280.5833333333333,20260727
SimplyAStickman,W,4,Hv8kOf89uYo,Why AuDHD Feels Like Two Brains Fighting?,7337,69,106.33333333333333,20260531
SimplyAStickman,L,1,oDYQMZfd8wg,What If You've Switched Off All The World's Electricity For One Second?,131,78,1.6794871794871795,20260522
SimplyAStickman,L,2,2bBvW2-H9ZQ,How Long Would It Take To Count To One Billion Out Loud?,134,80,1.675,20260520
SimplyAStickman,L,3,7fwjs35UBzQ,Why We Might Not Last 24 Hours in A World Without Fear?,122,75,1.6266666666666667,20260525
SimplyAStickman,L,4,ILgoKORk0YM,Why Social Media Exhausts You Even When You're Just Scrolling,133,85,1.5647058823529412,20260515
Zenn,W,1,st_Ah6Ykbh4,What Did Ancient Humans Do at Night?,7831687,125,62653.496,20260405
Zenn,W,2,LuCans9euxY,The Calhoun Effect,4023379,101,39835.43564356436,20260429
Zenn,W,3,royoy7-PyTw,Why You Can't Remember Being a Baby,1867656,127,14705.952755905511,20260403
Zenn,W,4,_XYNsTvnU7E,What If WE Are The Aliens?,812233,114,7124.850877192983,20260416
Zenn,L,1,6jZWZokuQuc,Why Were Vikings So Scared at Night?,21647,51,424.45098039215685,20260618
Zenn,L,2,9k817syA7SY,The Marshmallow Effect,14435,35,412.42857142857144,20260704
Zenn,L,3,jBM7m-LcT2I,Do Animals Remember Human Faces?,15620,41,380.9756097560976,20260628
Zenn,L,4,rtbqlnD_VXg,Why Do Dogs Love Humans?,13394,45,297.64444444444445,20260624
