kênh,view,tiêu đề,ký tự,từ,là câu hỏi,mở bằng từ hỏi,có 'you',có 'ancient',từ cực đại,từ nguy hiểm,có số,CHỮ HOA CẢ TỪ,dấu ...,dấu !
BeforeCivilization,2594,Ancient Humans Slept Beside THIS Every Night,44,7,0,0,0,1,1,0,0,1,0,0
BeforeCivilization,2055,What Did Ancient Humans Do When Everyone Was Watching?,54,9,1,1,0,1,0,0,0,0,0,0
BeforeCivilization,4366,What Did Ancient Humans Do When Food Vanished?,46,8,1,1,0,1,0,0,0,0,0,0
BeforeCivilization,2287,What Made Ancient Humans So Deadly?,35,6,1,1,0,1,0,1,0,0,0,0
BeforeCivilization,113666,Ancient Humans Were Drunk Every Single Day,42,7,0,0,0,1,1,0,0,0,0,0
BeforeCivilization,490973,The Darkest Things Ancient Humans Did To Survive The Cold,57,10,0,0,0,1,1,1,0,0,0,0
BeforeCivilization,7633,This One Mistakes Costed Other Species Their Survival While Ancient Humans Thrived,82,12,0,0,0,1,0,1,0,0,0,0
BeforeCivilization,10967,Why Ancient Humans Started Hiding Their Bodies,46,7,0,1,0,1,0,0,0,0,0,0
BeforeCivilization,12195,Smartest Ways Ancient Humans Used to Kill Animals 10x Their Size,64,11,0,0,0,1,0,1,0,0,0,0
BeforeCivilization,2584,"Ancient Humans Had No TV, No Phones, No Internet... So What Did They Do?",72,14,1,0,0,1,0,0,0,1,1,0
BeforeCivilization,3132,How Did Ancient Humans Perform surgeries?,41,6,1,1,0,1,0,0,0,0,0,0
BeforeCivilization,5816,The Desperate Strategy of Ancient Humans That Saved Them From Extinction,72,11,0,0,0,1,0,0,0,0,0,0
BeforeCivilization,1508,The Dark Secret Ancient Humans Took To The Grave,48,9,0,0,0,1,0,1,0,0,0,0
BeforeCivilization,1612,What Did Ancient Humans Eat When the Food Ran Out?,50,10,1,1,0,1,0,0,0,0,0,0
BeforeCivilization,8250,How Did Ancient Humans Deal With Hygiene Before?,48,8,1,1,0,1,0,0,0,0,0,0
BeforeCivilization,2539,Why Did Ancient Humans Fear This More Than Death?,49,9,1,1,0,1,0,2,0,0,0,0
BeforeCivilization,7070,How Ancient Humans Actually Kept Their Children Alive Against Odds,66,10,0,1,0,1,0,0,0,0,0,0
BeforeCivilization,2922,Why Did Ancient Humans Split Into Different Colors,50,8,0,1,0,1,0,0,0,0,0,0
BeforeCivilization,1266,The Darkest Things Ancient Humans Did To Survive,48,8,0,0,0,1,1,1,0,0,0,0
BeforeCivilization,3216,How Did Ancient Humans Face A Terrifying Death In The Dark?,59,11,1,1,0,1,0,3,0,0,0,0
BeforeCivilization,131647,The CRAZIEST  Survival Methods Used by Ancient Humans During the Ice Age (MUST WATCH!!),87,14,0,0,0,1,1,1,0,3,0,2
BeforeCivilization,2457,Why Ancient Humans Would’ve Died Without Animals (Shocking Truth!!),67,9,0,1,0,1,0,1,0,0,0,2
BeforeCivilization,22675,How Did Humans Actually Sleep In The Ice Age Without Freezing To Death?,71,13,1,1,0,1,0,1,0,0,0,0
BeforeCivilization,13796,How Did ancient humans ACTUALLY Survive –40°C Winters Without Heaters?,70,10,1,1,0,1,0,1,1,2,0,0
BeforeCivilization,11811,How Did Humans Actually Eat During the Ice Age at -40°C?,56,11,1,1,0,1,0,0,1,1,0,0
BeforeCivilization,16054,How Did Ancient Humans Actually Find Water During the Ice Age?,62,11,1,1,0,1,0,0,0,0,0,0
BeforeCivilization,3104,Why Didn't Ice Age Babies Freeze to Death?,42,8,1,1,0,1,0,1,0,0,0,0
BeforeCivilization,43138,SHOCKING Reason Why Predators Feared Ancient Humans Even in Their Sleep,71,11,0,0,0,1,0,1,0,1,0,0
BeforeCivilization,7406,Why Ancient Humans Slept Inside Dead Animals,44,7,0,1,0,1,0,0,0,0,0,0
BeforeCivilization,2820,Ancient Humans Had Perfect Focus — Here's Exactly What Destroyed Yours,70,11,0,0,1,1,0,0,0,0,0,0
BeforeCivilization,29451,A Day In The Life Of An Ice Age Human,37,10,0,0,0,1,0,0,0,0,0,0
BeforeCivilization,57505,Why Ancient Humans Couldn't Survive Without Grandparents,56,7,0,1,0,1,0,1,0,0,0,0
BeforeCivilization,41800,What Did Humans Do During Ice Age Summers?,42,8,1,1,0,1,0,0,0,0,0,0
BeforeCivilization,9950,Why Did Ancient Humans Walk Straight Into the Ice?,50,9,1,1,0,1,0,0,0,0,0,0
BeforeCivilization,71951,How Did Ancient Humans Keep Fire Alive in Endless Rain?,55,10,1,1,0,1,0,0,0,0,0,0
BeforeCivilization,25117,How Did Ancient Humans Hunt During Weeks of Rain?,49,9,1,1,0,1,0,0,0,0,0,0
BeforeCivilization,5872,What Happened When a Prehistoric Child Made Their First kill?,61,10,1,1,0,1,0,1,0,0,0,0
BeforeCivilization,12582,What Happened If Ancient Humans Lost Their Tribe?,49,8,1,1,0,1,0,0,0,0,0,0
BeforeCivilization,16129,The Deadliest Mistake Ice Age Humans Ever Made,46,8,0,0,0,1,1,1,0,0,0,0
BeforeCivilization,4048,What Did Ancient Humans Do When Their Cave Flooded?,51,9,1,1,0,1,0,0,0,0,0,0
BeforeCivilization,6392,What Did Ancient Humans Do When a Predator Followed Them Home?,62,11,1,1,0,1,0,1,0,0,0,0
BeforeCivilization,8942,The Worst Place to Spend One Night During the Ice Age,53,11,0,0,0,1,1,0,0,0,0,0
BeforeCivilization,34253,What Happened After Ancient Humans Killed a Mammoth?,52,8,1,1,0,1,0,1,0,0,0,0
BeforeCivilization,3138,The Largest Animals Hunted by Ancient Humans,44,7,0,0,0,1,0,0,0,0,0,0
BeforeCivilization,79601,How Did Ancient Humans Sleep Through Endless Rain?,50,8,1,1,0,1,0,0,0,0,0,0
BeforeCivilization,6001,What Did Ancient humans Do If They Were Injured Far From Home?,62,12,1,1,0,1,0,0,0,0,0,0
BeforeCivilization,23808,The Terrifying Sound Every Ancient Human Recognized,51,7,0,0,0,1,1,1,0,0,0,0
BeforeCivilization,40948,Why Ancient Humans Couldn't Afford to Lose Their Grandparents,61,9,0,1,0,1,0,0,0,0,0,0
BeforeCivilization,5530,What Did Ancient Humans Do With People Who Heard Voices?,56,10,1,1,0,1,0,0,0,0,0,0
BeforeCivilization,7753,The Most Horrifying Ways Ancient Humans Stayed Warm,51,8,0,0,0,1,1,0,0,0,0,0
BeforeCivilization,5540,What Happned When Ancient Humans Discovered Fire?,49,7,1,1,0,1,0,0,0,0,0,0
BeforeCivilization,3585,What Happened When It Didn't Snow During the Ice Age?,53,10,1,1,0,1,0,0,0,0,0,0
BeforeCivilization,3279,6 Scary Prehistoric Animals Found Frozen in Ice,47,8,0,0,0,1,0,1,1,0,0,0
BeforeCivilization,4885,Why Ancient Humans Risked Everything To Teach Children,54,8,0,1,0,1,0,0,0,0,0,0
BeforeCivilization,4239,The Ancient Survival Trick That Kept Fire Alive for Days,56,10,0,0,0,1,0,1,0,0,0,0
BeforeCivilization,8748,How Ancient Humans Survived 6 Months Without Seeing The Sun,59,10,0,1,0,1,0,1,1,0,0,0
BeforeCivilization,2276,Why Were Ancient Humans Healthier Than Us?,42,7,1,1,0,1,0,0,0,0,0,0
BrightPsycho,245,Do This for 20 Seconds to Reset Your Mind,41,9,0,1,1,0,0,0,1,0,0,0
BrightPsycho,59,Small 6 Habits That Create Massive Change,41,7,0,0,0,0,0,0,1,0,0,0
BrightPsycho,51,Stop Procrastinating: The 60-Second Brain Trick,47,6,0,0,0,0,0,0,1,0,0,0
BrightPsycho,42,5 Things You're Doing WRONG When Trying to Build Habits,55,10,0,0,1,0,0,0,1,1,0,0
BrightPsycho,52,This One Daily Habit Is Quietly Destroying Your Focus (Psychology Explains),75,11,0,0,1,0,0,0,0,0,0,0
BrightPsycho,105,4 Small Habits That Slowly Destroy Confidence,45,7,0,0,0,0,0,0,1,0,0,0
BrightPsycho,141,The 2-Min Brain Trick That Stops Procrastination (Try Tonight),62,9,0,0,0,0,0,0,1,0,0,0
BrightPsycho,24,Are Intelligent People With Imposter Syndrome Hiding In Plain Sight,67,10,0,1,0,0,0,0,0,0,0,0
BrightPsycho,607,WARNING: This Daily Habit Is Destroying Your Focus,50,8,0,0,1,0,0,0,0,1,0,0
BrightPsycho,71,This One Morning Habit Quietly Shapes Your Life,47,8,0,0,1,0,0,0,0,0,0,0
BrightPsycho,87,The Morning Habit That Rewires Your Mood Every Day,50,9,0,0,1,0,1,0,0,0,0,0
BrightPsycho,171,Top 5 Morning Habits Most Successful People Never Skip,54,9,0,0,0,0,2,0,1,0,0,0
BrightPsycho,92,Do this every morning for 30 days and your brain will feel quieter,66,13,0,1,1,0,1,0,1,0,0,0
BrightPsycho,1055,Stop Overthinking in 10 Seconds – Simple Brain Trick,52,9,0,0,0,0,0,0,1,0,0,0
BrightPsycho,165,The 5 SECOND Brain Hack to Boost Productivity,45,8,0,0,0,0,0,0,1,1,0,0
BrightPsycho,55,I Tried a 10 Second Productivity Trick for 30 Days and Here's What Happened,75,14,0,0,0,0,0,0,1,0,0,0
BrightPsycho,50,Top Anxiety Expert Shares 3-Second Mindfulness Hack,51,7,0,0,0,0,0,0,1,0,0,0
BrightPsycho,28,Expert Reveals 3 Simple Tricks to Boost Your Daily Productivity with Micro-Wins,79,12,0,0,1,0,0,0,1,0,0,0
BrightPsycho,103,Brain Shutdown Faceoff 5-Minute vs 2-Minute Method,50,7,0,0,0,0,0,0,1,0,0,0
BrightPsycho,222,The 7-Second Confidence Trick (Stand Like a Winner),51,8,0,0,0,0,0,0,1,0,0,0
BrightPsycho,37,Relax Your JAW in 3 Seconds with this Simple Trick,50,10,0,0,1,0,0,0,1,1,0,0
BrightPsycho,156,The 10 Second Rule That Will Boost Your Energy Levels FOREVER,61,11,0,0,1,0,0,0,1,1,0,0
BrightPsycho,22,Top Doctor Reveals 5-Second ENERGY BOOST with Cold Water Wrist Trick,68,11,0,0,0,0,0,0,1,2,0,0
BrightPsycho,44,Stop Overthinking Before Sleep in 10 Seconds (One-Line Dump Trick),66,10,0,0,0,0,0,0,1,0,0,0
BrightPsycho,126,The First 90 Seconds After Waking Decide Your Entire Day,56,10,0,0,1,0,0,0,1,0,0,0
BrightPsycho,46,Happiness Hack vs Quick Fix Which is Better for Your Mood,57,11,0,0,1,0,0,0,0,0,0,0
BrightPsycho,58,Feel Energized Right Now – 10-Second Brain Hack (No Coffee),59,10,0,0,0,0,0,0,1,0,0,0
BrightPsycho,15,Calm on Sundays Is Meditation Really Better Than Deep Breathing for Relaxation?,79,12,1,0,0,0,0,0,0,0,0,0
BrightPsycho,174,This 10-Second Hack Builds Unstoppable Confidence [Do Now],58,8,0,0,0,0,0,0,1,0,0,0
BrightPsycho,58,The BIGGEST Morning Mistake That's Weighing You Down,52,8,0,0,1,0,1,0,0,1,0,0
BrightPsycho,41,Brain Hacks vs Positive Thinking Which is Better for Confidence?,64,10,1,0,0,0,0,0,0,0,0,0
BrightPsycho,223,Reset Social Anxiety in 7 Seconds (Hands + Breath Trick),56,10,0,0,0,0,0,0,1,0,0,0
BrightPsycho,25,Why Quiet People Are The Strongest | Psychology Facts,53,9,0,1,0,0,0,0,0,0,0,0
BrightPsycho,26,7 Reasons Why Talking to Yourself Makes You Smarter,51,9,0,0,1,0,0,0,1,0,0,0
BrightPsycho,56,4 Mistakes That Make Overthinking Worse,39,6,0,0,0,0,0,0,1,0,0,0
BrightPsycho,80,Warning  this Overthinking Secretly Destroys Your Happiness,59,7,0,0,1,0,0,0,0,0,0,0
BrightPsycho,101,Your Anxiety is Lying to You | 3 Tricks That Actually Work,58,12,0,0,1,0,0,0,1,0,0,0
BrightPsycho,42,Do you feel mentally exhausted even on normal days,50,9,0,1,1,0,0,0,0,0,0,0
BrightPsycho,75,Your Brain Is Working Against You — 5 Habits Destroying Your Motivation,71,12,0,0,1,0,0,0,1,0,0,0
BrightPsycho,107,Feel Happy Instantly – 4 Brain Hacks in 15 Seconds,50,10,0,0,0,0,0,0,1,0,0,0
BrightPsycho,913,6 Normal Habits That Are Destroying Your Brain,46,8,0,0,1,0,0,0,1,0,0,0
BrightPsycho,48,4 Brain Tricks That Stop Overthinking in 10 Seconds,51,9,0,0,0,0,0,0,1,0,0,0
BrightPsycho,134,7-Minute Brain Reset to Beat Overthinking Instantly,51,7,0,0,0,0,0,0,1,0,0,0
BrightPsycho,85,10 Morning Habits That Make You Happier,39,7,0,0,1,0,0,0,1,0,0,0
BrightPsycho,38,These Daily Habits Are Silently Rewiring Your Brain,51,8,0,0,1,0,0,0,0,0,0,0
BrightPsycho,109,You’re Not Lazy This Is Why You Can’t Focus,43,9,0,0,1,0,0,0,0,0,0,0
BrightPsycho,132,Do This Before Bed & Wake Up Happy (8-Second Trick),51,10,0,1,0,0,0,0,1,0,0,0
BrightPsycho,114,5 Habits That Instantly Reset Your Mood in 60 Seconds,53,10,0,0,1,0,0,0,1,0,0,0
BrightPsycho,247,The Night Habit That Makes You Wake Up Happy in 10 second,57,12,0,0,1,0,0,0,1,0,0,0
BrightPsycho,110,5 Happiness Hacks You Can Do in 10 Seconds ( Psychology),56,11,0,0,1,0,0,0,1,0,0,0
BrightPsycho,61,5 Silent Habits That Are Killing Your Happiness,47,8,0,0,1,0,0,0,1,0,0,0
BrightPsycho,82,The Happiness Habit Happy People Never Miss,43,7,0,0,0,0,1,0,0,0,0,0
BrightPsycho,102,The Psychology of People Who Stay Calm Under Pressure,53,9,0,0,0,0,0,0,0,0,0,0
BrightPsycho,91,Why Some People Never Give Up After Failure,43,8,0,1,0,0,1,0,0,0,0,0
BrightPsycho,84,Why Smart People Are Prone to Overthinking,42,7,0,1,0,0,0,0,0,0,0,0
BrightPsycho,144,5 Habits Happy People Do Before 9 AM,36,8,0,0,0,0,0,0,1,0,0,0
BrightPsycho,112,The Psychology Behind Unhappy People,36,5,0,0,0,0,0,0,0,0,0,0
BrightPsycho,126,The Psychology of Discipline and Self-Control,45,6,0,0,0,0,0,0,0,0,0,0
BrightPsycho,182,Ancient Humans Healed Infections Using This One Plant,53,8,0,0,0,1,0,0,0,0,0,0
BrightPsycho,670,Did Ancient Humans Talk To Animals?,35,6,1,1,0,1,0,0,0,0,0,0
BrightPsycho,221,Ancient Humans Had the Perfect Hunting Partner — And It Could Fly,65,12,0,0,0,1,0,0,0,0,0,0
BrightPsycho,373,How Did Ancient Humans Impress A Girl ?,39,8,1,1,0,1,0,0,0,0,0,0
BrightPsycho,329,Why Did Ancient Humans Raise Other Kids?,40,7,1,1,0,1,0,0,0,0,0,0
BrightPsycho,4262,Why Are Animals Afraid Of Humans?,33,6,1,1,0,0,0,1,0,0,0,0
BrightPsycho,129514,Why Don't Wild Animals Eat Sleeping Humans ?,44,8,1,1,0,0,0,0,0,0,0,0
BrightPsycho,2691,Why Are This Animals Fear Of Humans?,36,7,1,1,0,0,0,1,0,0,0,0
BrightPsycho,672,Animals Know What's Coming | The Signal Humans Lost,51,9,0,0,0,0,0,0,0,0,0,0
BrightPsycho,638,Why Not Predators Attack Sleeping Humans?,41,6,1,1,0,0,0,1,0,0,0,0
BrightPsycho,1085,Why Don't wild Animals Attack Crying Babies ?,45,8,1,1,0,0,0,0,0,0,0,0
BrightPsycho,192,Gorillas Share Their Pain With Humans?,38,6,1,0,0,0,0,0,0,0,0,0
BrightPsycho,1602,Why This Wild Animal Handed Its Baby to a Human?,48,10,1,1,0,0,0,0,0,0,0,0
BrightPsycho,569,Why Predators Hunt Humans While Others Run ?,44,8,1,1,0,0,0,1,0,0,0,0
BrightPsycho,822,Which Animal Bite Can Kill You in 60 Seconds?,45,9,1,0,1,0,0,1,1,0,0,0
BrightPsycho,309,Which Insect Sting Can Kill You in Minutes ?,44,9,1,0,1,0,0,1,0,0,0,0
BrightPsycho,2657,Why Do Animals Save Human Lives ?,33,7,1,1,0,0,0,0,0,0,0,0
BrightPsycho,450,Why Do Elephants Bury Their Dead?,33,6,1,1,0,0,0,0,0,0,0,0
BrightPsycho,504462,Why Can't We Eat Predator Meat?,31,6,1,1,0,0,0,1,0,0,0,0
BrightPsycho,1431,Why Do Some Animals Adopt Babies From Other Species?,52,9,1,1,0,0,0,0,0,0,0,0
BrightPsycho,135214,Why Do We Only Eat Chicken Eggs?,32,7,1,1,0,0,1,0,0,0,0,0
BrightPsycho,51283,Why Don't We Drink Any Other Animal's Milk?,43,8,1,1,0,0,0,0,0,0,0,0
BrightPsycho,21274,Why Can't We Eat Wild Bird Meat ?,33,8,1,1,0,0,0,0,0,0,0,0
BrightPsycho,3878,Why Wild Animals Secretly Ask Humans To Help Them?,50,9,1,1,0,0,0,0,0,0,0,0
BrightPsycho,5811,Why Don't We Eat Enough Insects ?,33,7,1,1,0,0,0,0,0,0,0,0
BrightPsycho,13211,Why Don't We Eat Crocodile Meat?,32,6,1,1,0,0,0,0,0,0,0,0
BrightPsycho,32044,Why Can't We Drink Predator Milk?,33,6,1,1,0,0,0,1,0,0,0,0
BrightPsycho,1596,Why Don't We Drink Animal Blood?,32,6,1,1,0,0,0,0,0,0,0,0
BrightPsycho,161520,Why Don't Predators Eat Other Predators?,40,6,1,1,0,0,0,2,0,0,0,0
BrightPsycho,36920,Why Don't We Eat Most Ocean Fish?,33,7,1,1,0,0,1,0,0,0,0,0
BrightPsycho,21236,Why Humans Don't Eat Predator Meat ?,36,7,1,1,0,0,0,1,0,0,0,0
BrightPsycho,1551,Why Do Predators Kill  Other's Babies ?,39,7,1,1,0,0,0,2,0,0,0,0
BrightPsycho,46706,Why Do We Eat Raw Fish But Avoid Raw Meat?,42,10,1,1,0,0,0,0,0,0,0,0
BrightPsycho,65984,Why Do Predators Swallow Meat Whole ?,37,7,1,1,0,0,0,1,0,0,0,0
BrightPsycho,5641,Why Do Humans Crave Spicy Foods ?,33,7,1,1,0,0,0,0,0,0,0,0
BrightPsycho,9522,Why Do People Eat Frogs But Never Toads?,40,8,1,1,0,0,1,0,0,0,0,0
BrightPsycho,3051,Why Do We Eat Shrimp But Not Cockroaches ?,42,9,1,1,0,0,0,0,0,0,0,0
BrightPsycho,3436,Why Don't Predators Attack Sleeping Prey ?,42,7,1,1,0,0,0,1,0,0,0,0
InkExplainer,321186,The Real Reason Humans Started Wearing Clothes,46,7,0,0,0,0,0,0,0,0,0,0
InkExplainer,6972,what is The IKEA Effect.,24,5,0,1,0,0,0,0,0,1,0,0
InkExplainer,25548,What did Early Humans do when they got Sick,43,9,0,1,0,0,0,0,0,0,0,0
InkExplainer,137062,Why Life Speeds Up As You Get Older?,36,8,1,1,1,0,0,0,0,0,0,0
InkExplainer,770747,When Did Ancient Humans Start Drinking Alcohol?,47,7,1,1,0,1,0,0,0,0,0,0
InkExplainer,196188,Do Animals Know When Another Animal is a Baby?,46,9,1,1,0,0,0,0,0,0,0,0
InkExplainer,247555,When Did Ancient Humans Started Smoking Weed?,45,7,1,1,0,1,0,0,0,0,0,0
InkExplainer,884194,Why Are We the Only Human Species Left? What happened to others...,66,12,0,1,0,0,1,0,0,0,1,0
InkExplainer,657575,How Did Ancient Humans Travel the World?,40,7,1,1,0,1,0,0,0,0,0,0
InkExplainer,1101989,What Did Ancient Humans Do When It Rained All Week?,51,10,1,1,0,1,0,0,0,0,0,0
InkExplainer,144601,The Disturbing Ways Ancient Humans Survived Winter,50,7,0,0,0,1,0,1,0,0,0,0
InkExplainer,18404,How Did Human Accidentally Invented Guns?,41,6,1,1,0,0,0,0,0,0,0,0
Mack,1694495,When Did Ancient Humans Start Smoking?,38,6,1,1,0,1,0,0,0,0,0,0
Mack,198583,When Did Ancient Humans First Drink Alcohol?,44,7,1,1,0,1,0,0,0,0,0,0
Mack,190209,How Did Ancient Humans Survive Without Medicine?,48,7,1,1,0,1,0,1,0,0,0,0
Mack,729139,Why Did Ancient Humans Start Wearing Clothes?,45,7,1,1,0,1,0,0,0,0,0,0
Mack,325315,What Did Ancient Humans Do All Day With No Jobs?,48,10,1,1,0,1,0,0,0,0,0,0
Mack,502631,Do Wild Animals Know When a Human Is Helping Them?,50,10,1,1,0,0,0,0,0,0,0,0
Mack,319625,How Did Ancient Humans Survive Predators?,41,6,1,1,0,1,0,2,0,0,0,0
Mack,57335,Do Animals Know They're Alive?,30,5,1,1,0,0,0,0,0,0,0,0
Mack,561229,How Did Ancient Women Handle Their Periods?,43,7,1,1,0,1,0,0,0,0,0,0
Mack,81714,Do Animals Know When a Human is Sad?,36,8,1,1,0,0,0,0,0,0,0,0
Mack,148974,Did Ancient Humans Have a Private Life?,39,7,1,1,0,1,0,0,0,0,0,0
Mack,1032078,Why Ancient Humans Went From Black to White?,44,8,1,1,0,1,0,0,0,0,0,0
Mack,164311,What Did Ancient Humans Do With the Mentally Ill?,49,9,1,1,0,1,0,0,0,0,0,0
Mack,495688,Why Are Animals Scared of Humans?,33,6,1,1,0,0,0,0,0,0,0,0
Mack,237674,Why Did Your Baby Memories Disappear?,37,6,1,1,1,0,0,0,0,0,0,0
Mack,15159,Could Ancient Humans Prevent Pregnancy?,39,5,1,1,0,1,0,0,0,0,0,0
Mack,7140,What Animal Will Humans Domesticate Next?,41,6,1,1,0,0,0,0,0,0,0,0
Mack,6094,Why Ancient Humans Would Have Died Without Animals?,51,8,1,1,0,1,0,1,0,0,0,0
Mack,14833,What Are Your Final 60 Minutes Like?,36,7,1,1,1,0,0,0,1,0,0,0
Mack,89110,Did Ancient Humans Have One Partner?,36,6,1,1,0,1,0,0,0,0,0,0
Mack,137155,Did Autistic Traits Help Ancient Tribes?,40,6,1,1,0,1,0,0,0,0,0,0
Mack,68820,Why Did Ancient Humans Die Young?,33,6,1,1,0,1,0,1,0,0,0,0
Mack,32498,How Did Ancient Humans Punish Criminals?,40,6,1,1,0,1,0,0,0,0,0,0
Mack,8340,How Did Ancient Humans Handle Hunger?,37,6,1,1,0,1,0,0,0,0,0,0
Mack,451251,How Did Humans Invent Guns?,27,5,1,1,0,0,0,0,0,0,0,0
Mack,5489,Do Animals Treat Babies Differently?,36,5,1,1,0,0,0,0,0,0,0,0
Mack,25000,Why Didn’t Ancient Humans Sleep Alone?,38,6,1,1,0,1,0,0,0,0,0,0
Mack,9951,Were Cavewomen Stronger Than We Think?,38,6,1,1,0,0,0,0,0,0,0,0
Mack,30277,Were Ancient Humans Attractive?,31,4,1,1,0,1,0,0,0,0,0,0
Mack,75056,What Was Black Life Like Through History?,41,7,1,1,0,0,0,0,0,0,0,0
Mack,48989,How Did Ancient Humans Travel So Far?,37,7,1,1,0,1,0,0,0,0,0,0
Mack,37685,How Did Humans Communicate Before Speech?,41,6,1,1,0,0,0,0,0,0,0,0
Mack,17617,Why Didn’t Ancient Humans Wash Their Hands?,43,7,1,1,0,1,0,0,0,0,0,0
Mack,355438,How Did Ancient Humans Survive Endless Rain?,44,7,1,1,0,1,0,1,0,0,0,0
Mack,10826,Why Can Dogs Drink Dirty Water and Survive?,43,8,1,1,0,0,0,1,0,0,0,0
Mack,31720,Why Does Time Feel Faster as You Age?,37,8,1,1,1,0,0,0,0,0,0,0
Mack,4588,How Did Ancient Women Give Birth Before Hospitals?,50,8,1,1,0,1,0,0,0,0,0,0
Mack,14586,Why Don’t We Drink Other Animals’ Milk?,39,7,1,1,0,0,0,0,0,0,0,0
Mack,18775,Did Ancient Humans Kill the Other Human Species?,48,8,1,1,0,1,0,1,0,0,0,0
Mack,9471,Did Cats Actually Domesticate Humans?,37,5,1,1,0,0,0,0,0,0,0,0
Mack,3879,Why Don’t Wild Wolves Attack Us?,32,6,1,1,0,0,0,0,0,0,0,0
Mack,5807,Why Didn’t Ancient Humans Need Exercise?,40,6,1,1,0,1,0,0,0,0,0,0
Mack,20068,What Was History’s Most Terrifying Disease?,43,6,1,1,0,0,1,1,0,0,0,0
Mack,38738,Is Your Inner Voice Really You?,31,6,1,1,1,0,0,0,0,0,0,0
Mack,19181,What Happens When You Become Conscious Inside a Dream?,54,9,1,1,1,0,0,0,0,0,0,0
Mack,6216,How Did the Other 6 Civilizations Disappear?,44,7,1,1,0,0,0,0,1,0,0,0
Mack,13910,Why Did Ancient Humans Become Parents at 12?,44,8,1,1,0,1,0,0,1,0,0,0
Mack,6078,Did Ancient Humans Reproduce With Family Members?,49,7,1,1,0,1,0,0,0,0,0,0
Mack,4401,Why Do Humans Mostly Drink Cow’s Milk?,38,7,1,1,0,0,0,0,0,0,0,0
Mack,5984,Why Do Some of Us Have Almond-Shaped Eyes?,42,8,1,1,0,0,0,0,0,0,0,0
Mack,17895,What’s the Smallest Human Population Needed to Repopulate Earth?,64,9,1,1,0,0,0,0,0,0,0,0
Mack,8056,How Did Vikings Stay Warm on Freezing Ships?,44,8,1,1,0,0,0,0,0,0,0,0
Mogo,3073,How Did Ancient Women Manage Their Periods?,43,7,1,1,0,1,0,0,0,0,0,0
Mogo,32236,When Did Ancient Humans Actually Start Smoking?,47,7,1,1,0,1,0,0,0,0,0,0
Mogo,1357,How Did Ancient Humans Keep Their Kids Alive?,45,8,1,1,0,1,0,0,0,0,0,0
Mogo,4302,Did Ancient Humans Smell Terrible?,34,5,1,1,0,1,0,0,0,0,0,0
Mogo,91302,Why Do Ancient Humans Have Different Blood Types?,49,8,1,1,0,1,0,0,0,0,0,0
Mogo,2363,How Did Ancient Humans Treat Disease?,37,6,1,1,0,1,0,0,0,0,0,0
Mogo,158328,How Did Ancient Humans Survive Endless Rain?,44,7,1,1,0,1,0,1,0,0,0,0
