IMG	SENTENCE	MATCH	KIND	SCENE
77	Not because naked skin was comfortable.   ⏐   It was not.	TIGHT	MODERN	a fur-free smooth white human gesturing at their o
78	Not because it looked good.   ⏐   That part came much later.	TIGHT	MODERN	a furry animal panting and overheating vs a cool s
79	But because bare, sweaty skin let a soft, slow ape outlast a	TIGHT	ANCESTOR	a white caveman jogging, lots of sweat drops flyin
80	The lion had the teeth.   ⏐   The cheetah had the speed.	TIGHT	OBJECT	a spotted leopard facing a small determined fur-fr
81	We had sweat glands... and a deep, almost spiritual inabilit	TIGHT	ANCESTOR	a white caveman jogging, lots of sweat drops flyin
82	And on a hot enough day, against the right animal, sweat bea	TIGHT	ANCESTOR	a white caveman jogging, lots of sweat drops flyin
83	But hold on.	THEME	OBJECT	footprints in dust leading to the horizon under a 
84	If bare skin is such a great deal...	TIGHT	MODERN	a white human at a tiny market stall refusing a fu
85	why didn't the chimp lose its fur too?	TIGHT	CHIMP	a chimp fully covered in flat brown fur beside a f
86	Same family tree.   ⏐   Same five million follicles.	TIGHT	CHIMP	split frame: a brown furry chimp and a fur-free wh
87	So why is it still wearing the coat?	TIGHT	ANCESTOR	a caveman wrapping a brown animal-hide around the 
88	The answer is where it lives.	TIGHT	OBJECT	a big doodle question mark built from small icons 
89	A chimp spends almost its whole life in and around the fores	TIGHT	CHIMP	a chimp fully covered in flat brown fur beside a f
90	Shade.   ⏐   Cover.   ⏐   Short bursts of movement, then a l	TIGHT	MODERN	a furry animal panting and overheating vs a cool s
91	It is almost never sprinting across open ground, under a bla	TIGHT	OBJECT	a big bold doodle sun with rays over a small fur-f
92	So a chimp never really had to pay the heat penalty we did.	TIGHT	CHIMP	a chimp fully covered in flat brown fur beside a f
93	Its fur stays useful.   ⏐   Warmth at night.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
94	Protection from scratches.	TIGHT	OBJECT	a cozy furry animal warm and smiling, a small shie
95	A shield from a sun it mostly hides from anyway.	TIGHT	OBJECT	a big bold doodle sun with rays over a small fur-f
96	Our ancestors made the opposite bet.	TIGHT	OBJECT	an evolution line: hunched ape → upright fur-free 
97	They walked out of the shade.   ⏐   Into the open.	THEME	ANCESTOR	a white caveman jogging across savanna, sweat drop
98	Into the heat.	TIGHT	MODERN	a fur-free white human with wavy heat lines liftin
99	Into long, punishing distances with nowhere to hide.	THEME	ANCESTOR	a caveman chasing a tired antelope across dry sava
100	And out there, fur stopped being a gift...	TIGHT	OBJECT	a thick fur coat doodle on a hanger
101	and started being a liability.   ⏐   That is the real lesson	TIGHT	OBJECT	sweat drops dripping off a fur-free arm, blazing s
102	Fur is not good or bad.	TIGHT	OBJECT	a thick fur coat doodle on a hanger, with a bold R
103	It depends entirely on where you are standing...	THEME	ANCESTOR	a caveman walking upright relentlessly across the 
104	and how long you have to keep moving.	THEME	OBJECT	a blazing sun over dry cracked savanna ground
105	The chimp stayed in the forest and kept its coat.	TIGHT	CHIMP	a chimp fully covered in flat brown fur beside a f
106	We walked into the furnace... and traded ours away.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
107	And there was one more thing riding on staying cool.	THEME	OBJECT	footprints in dust leading to the horizon under a 
108	The most expensive organ you own.   ⏐   Your brain.	TIGHT	OBJECT	a simple doodle brain glowing, a small white figur
109	Your brain is basically a furnace.	TIGHT	OBJECT	a simple doodle brain glowing, a small white figur
110	It burns around a fifth of your energy...	TIGHT	MODERN	a fur-free white human with wavy heat lines liftin
111	to run a lump of tissue that is only about two percent of yo	THEME	ANCESTOR	a caveman chasing a tired antelope across dry sava
112	And it is dangerously sensitive to heat.	TIGHT	MODERN	a bursting thermometer beside a fur-free sweating 
113	Let your core temperature climb just a few degrees...	TIGHT	OBJECT	sweat drops dripping off a fur-free arm, blazing s
114	and the brain starts to fail before almost anything else.	TIGHT	OBJECT	a simple doodle brain glowing, a small white figur
115	Confusion.   ⏐   Dizziness.   ⏐   Collapse.	THEME	ANCESTOR	a caveman walking upright relentlessly across the 
116	So for an ape that was now running for hours under the open 	TIGHT	ANCESTOR	a caveman running steadily across savanna chasing 
117	overheating was not just exhausting.	TIGHT	OBJECT	a fur-free white figure with sweat drops and wavy 
118	It was a way to slowly cook the one organ that made us speci	THEME	MODERN	a collapsed antelope with a calm human arriving on
119	Bare, sweaty skin was the cooling system that kept that furn	TIGHT	ANCESTOR	a white caveman jogging, lots of sweat drops flyin
120	And here is the loop that may have changed everything.	TIGHT	MODERN	a fur-free human cooling down with wavy sweat line
121	Better cooling let the brain grow bigger.	TIGHT	OBJECT	a fur-free white figure with sweat drops and wavy 
122	A bigger brain made us better hunters, better planners, bett	TIGHT	ANCESTOR	a caveman running steadily across savanna chasing 
123	Which made the long, hot chase pay off even more.	TIGHT	ANCESTOR	a caveman running steadily across savanna chasing 
124	Sweat protected the brain.	TIGHT	ANCESTOR	a white caveman jogging, lots of sweat drops flyin
125	The brain went on to build the entire world.	TIGHT	OBJECT	a simple doodle brain glowing, a small white figur
126	Not bad...   ⏐   for a side effect of losing your fur.	TIGHT	OBJECT	a thick fur coat doodle on a hanger, with a bold R
127	But losing the fur created a brand new problem.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
128	Your skin.   ⏐   Under a thick coat, skin can stay pale.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
129	The fur does the hard work.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
130	It blocks the sunlight long before it ever touches you.	TIGHT	OBJECT	a big bold doodle sun with rays over a small fur-f
131	Take the fur away...	TIGHT	OBJECT	a thick fur coat doodle on a hanger
132	and suddenly bare skin is standing in direct sun, all day, w	TIGHT	OBJECT	a big bold doodle sun with rays over a small fur-f
133	And the sun has never been gentle with anything.	TIGHT	OBJECT	a big bold doodle sun with rays over a small fur-f
134	Sunlight burns.   ⏐   It damages skin cells.	TIGHT	OBJECT	a big bold doodle sun with rays over a small fur-f
135	And, most importantly for our ancestors, it breaks down fola	TIGHT	OBJECT	an evolution line: hunched ape → upright fur-free 
136	a nutrient the body needs to make healthy babies.	TIGHT	OBJECT	a simple full-body doodle of a fur-free white huma
137	Evolution does not care if an ape turns a little red.	TIGHT	OBJECT	an evolution line: hunched ape → upright fur-free 
138	It cares enormously if fewer babies survive.	THEME	OBJECT	a sun with a brown melanin umbrella over the skin
139	So as our ancestors got barer, darker skin was strongly favo	TIGHT	OBJECT	close-up of a fur-free arm, a flat brown melanin s
140	More melanin meant more protection.   ⏐   More protection me	TIGHT	OBJECT	close-up of a fur-free arm, a flat brown melanin s
141	Now here is the clever part.   ⏐   Skin does not fossilize.	TIGHT	OBJECT	a simple doodle brain glowing, a small white figur
142	You cannot dig up a million-year-old sunburn.	TIGHT	MODERN	a white human turned pink and peeling under a big 
143	So how could anyone possibly know when this happened?	TIGHT	OBJECT	a fur-free back uncovered to a blazing sun, heat l
144	You look at genes.	THEME	OBJECT	a sun with a brown melanin umbrella over the skin
145	Geneticist Alan Rogers and his colleagues studied a pigmenta	TIGHT	OBJECT	a DNA double-helix doodle splitting into head-lous
146	and estimated that dark skin became established in our ances	TIGHT	OBJECT	close-up of a fur-free arm, a flat brown melanin s
147	somewhere around 1.2 million years ago.	TIGHT	OBJECT	a spotted leopard facing a small determined fur-fr
148	It is not a perfect date.	TIGHT	OBJECT	yellow UV arrows hitting fur-free skin, a brown pi
149	Genes do not come with a calendar attached.	TIGHT	OBJECT	a fur-free back uncovered to a blazing sun, heat l
150	But sit with what it means for a second.	THEME	OBJECT	a sun with a brown melanin umbrella over the skin
151	If our ancestors already needed dark skin 1.2 million years 	TIGHT	OBJECT	close-up of a fur-free arm, a flat brown melanin s
152	then the fur was probably already mostly gone by then.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
153	Which means the color of human skin is basically a shadow.	TIGHT	OBJECT	close-up of fur-free white human skin, simple, a c
154	A shadow cast by a coat we lost over a million years ago.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
155	That is the strange thing about evolution.	TIGHT	OBJECT	an evolution line: hunched ape → upright fur-free 
156	It almost never leaves you the thing you are looking for.	THEME	OBJECT	a sun with a brown melanin umbrella over the skin
157	It does not leave the missing coat.	TIGHT	OBJECT	a thick fur coat doodle on a hanger, with a bold R
158	It leaves the receipt... in a completely different aisle.	TIGHT	OBJECT	a big yellow sun beating down on a small fur-free 
159	But here is where it gets a little gross.	THEME	OBJECT	a skin-tone swatch row going light to dark under t
160	Because fur is a wonderful place to live.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
161	If you happen to be a tick.   ⏐   Or a flea.	TIGHT	OBJECT	close-up: thick fur hiding tiny bugs on the left v
162	Or a louse.	TIGHT	OBJECT	a few tiny lice doodles on a patch of hair, small 
163	A warm coat is a dark little forest, full of blood, that con	TIGHT	OBJECT	a thick fur coat doodle on a hanger
164	And for animals that sleep in piles and groom each other all	TIGHT	MODERN	a fur-free bug-free human vs a furry animal scratc
165	Biologists Mark Pagel and Walter Bodmer proposed...	THEME	OBJECT	a magnified tick on skin with a small red dot
166	that losing body hair helped early humans carry fewer parasi	TIGHT	OBJECT	close-up: thick fur hiding tiny bugs on the left v
167	Less fur means fewer places to hide.	TIGHT	OBJECT	close-up: thick fur hiding tiny bugs on the left v
168	A naked ape can actually see what is crawling on it.	TIGHT	MODERN	a fur-free white human standing tall and proud, si
169	A furry one just has to hope for the best, and scratch with 	TIGHT	OBJECT	a thick fur coat doodle on a hanger
170	Cooler.   ⏐   Cleaner.   ⏐   Harder to bite.	THEME	OBJECT	a few tiny bug doodles on a patch of hair, red irr
171	And then bare skin quietly picked up one more job.	TIGHT	MODERN	a fur-free smooth white human gesturing at their o
172	Because once skin is visible, it becomes a billboard.	TIGHT	OBJECT	close-up of fur-free white human skin, simple, a c
173	Smooth, clear skin started to signal health.	TIGHT	MODERN	two simple white humans facing each other with a t
174	Bites, rashes, and parasites signalled the opposite.	TIGHT	OBJECT	close-up: thick fur hiding tiny bugs on the left v
175	Charles Darwin himself suggested attraction may have helped 	TIGHT	MODERN	two simple white humans facing each other with a t
176	A trait that helps you survive is powerful.	TIGHT	MODERN	a fur-free white human flexing one arm with a smal
177	A trait that helps you survive and find a partner is basical	TIGHT	MODERN	two simple white humans facing each other with a t
178	Nobody on the savanna was thinking "wow, excellent parasite 	TIGHT	OBJECT	close-up: thick fur hiding tiny bugs on the left v
179	But somewhere underneath, the body was keeping score anyway.	TIGHT	OBJECT	a simple full-body doodle of a fur-free white huma
180	Now, you may have heard a much more dramatic explanation.	TIGHT	OBJECT	fur-free skin with a small green check (no hiding 
181	The aquatic ape idea.	TIGHT	OBJECT	a caveman standing in flat blue water with a big b
182	The theory that we lost our fur because our ancestors spent 	TIGHT	OBJECT	a caveman standing in flat blue water with a big b
183	slowly going smooth, like nervous little dolphins.	TIGHT	MODERN	a fur-free smooth white human gesturing at their o
184	And honestly, it is a beautiful story.   ⏐   Dolphins are sm	TIGHT	OBJECT	an open doodle book / scroll with small icons (sun
185	Whales are smooth.   ⏐   Manatees look like they were gently	TIGHT	MODERN	a fur-free smooth white human gesturing at their o
186	But most scientists do not buy it.	TIGHT	MODERN	a white human at a tiny market stall refusing a fu
187	The fossils do not show a watery phase.	THEME	OBJECT	a water-drop theory icon stamped with a bold RED X
188	And sweat, heat, and long-distance walking explain our bare 	TIGHT	ANCESTOR	a white caveman jogging, lots of sweat drops flyin
189	We did not go smooth because we went swimming.	TIGHT	OBJECT	a caveman standing in flat blue water with a big b
190	We went smooth because we got extremely, world-changingly go	TIGHT	MODERN	a fur-free smooth white human gesturing at their o
191	But bare skin came with one obvious catch.	TIGHT	MODERN	a fur-free smooth white human gesturing at their o
192	Cold.   ⏐   Naked skin is wonderful under a blazing sun.	TIGHT	MODERN	a white human shivering, arms hugged, small blue c
193	It is a lot less wonderful when the temperature drops...	THEME	OBJECT	a clothing seam with a tiny louse hiding in the fo
194	and you are standing there looking like a shivering mistake.	TIGHT	MODERN	a white human shivering, arms hugged, small blue c
195	And here the timeline gets funny.	TIGHT	OBJECT	a doodle timeline: hunched ape on the left, fur-fr
196	Humans probably lost most of their fur long before they inve	TIGHT	ANCESTOR	a caveman wrapping a brown animal-hide around the 
197	For an enormous stretch of time, we were just... cold, and b	TIGHT	MODERN	a white human shivering, arms hugged, small blue c
198	So when did clothes finally show up?	TIGHT	ANCESTOR	a caveman wrapping a brown animal-hide around the 
199	The answer comes from something tiny, annoying, and deeply d	TIGHT	OBJECT	a big doodle question mark built from small icons 
200	Lice.	TIGHT	OBJECT	a few tiny lice doodles on a patch of hair, small 
201	Humans have head lice, which live in the hair on your head.	TIGHT	OBJECT	a few tiny lice doodles on a patch of hair, small 
202	But humans also have body lice.	TIGHT	OBJECT	close-up of a clothing seam with a tiny louse hidi
203	And body lice are strange.	TIGHT	OBJECT	close-up of a clothing seam with a tiny louse hidi
204	They do not really live on your body.	TIGHT	OBJECT	a simple full-body doodle of a fur-free white huma
205	They live in your clothing.	TIGHT	ANCESTOR	a caveman wrapping a brown animal-hide around the 
206	Which means body lice could not even exist until humans were	TIGHT	OBJECT	close-up of a clothing seam with a tiny louse hidi
207	So geneticist Mark Stoneking and others compared their DNA..	TIGHT	OBJECT	a DNA double-helix doodle splitting into head-lous
208	and estimated that body lice split off around 170,000 years 	TIGHT	OBJECT	a DNA double-helix doodle splitting into head-lous
209	A clue about the day we got dressed... hidden inside a paras	TIGHT	OBJECT	close-up: thick fur hiding tiny bugs on the left v
210	And look at what we actually did here.	THEME	OBJECT	fur turning into a removable jacket on a hanger
211	We deleted the fur.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
212	And then we invented a version we can take off.	TIGHT	OBJECT	a row of human-invention icons: spear, fire, cloth
213	Fur you can remove in summer.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
214	Fur you can pile on in winter.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
215	Fur you can wash.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
216	We turned a coat from biology into technology.	TIGHT	OBJECT	a thick fur coat doodle on a hanger, with a bold R
217	Which might be the most human move in this entire story.	TIGHT	OBJECT	an open doodle book / scroll with small icons (sun
218	Here is something most people never notice.	THEME	ANCESTOR	a caveman wrapping a brown animal-hide around the 
219	Evolution did not shave us completely.   ⏐   It edited us.	TIGHT	OBJECT	an evolution line: hunched ape → upright fur-free 
220	And the patches it chose to leave behind are not random.	TIGHT	MODERN	a white human pointing awkwardly at small body-hai
221	You kept the hair on top of your head...	THEME	MODERN	a human pointing at small leftover body-hair patch
222	right where the sun hits hardest...	TIGHT	OBJECT	a big bold doodle sun with rays over a small fur-f
223	shading the most expensive, most fragile thing you own.	THEME	OBJECT	head hair drawn as a tiny umbrella over the scalp
224	Your brain.   ⏐   You kept your eyebrows.	TIGHT	MODERN	close-up white face: bold eyebrows redirecting a s
225	They steer stinging sweat away from your eyes during a long,	TIGHT	ANCESTOR	a white caveman jogging, lots of sweat drops flyin
226	And, conveniently, they let you judge someone from across a 	THEME	OBJECT	a white face with bold eyebrows redirecting a swea
227	The full-body coat did not just vanish.	TIGHT	OBJECT	a thick fur coat doodle on a hanger, with a bold R
228	It shrank into a small set of specialized tools.	TIGHT	OBJECT	a row of human-invention icons: spear, fire, cloth
229	Less blanket.   ⏐   More equipment.	TIGHT	OBJECT	a furry animal wrapped in its own fur like a cozy 
230	Which brings us back to the strange thing your body still do	TIGHT	OBJECT	a simple full-body doodle of a fur-free white huma
231	Goosebumps.   ⏐   When you are cold...   ⏐   or scared...	TIGHT	MODERN	extreme close-up of a fur-free white forearm cover
232	or a song hits at exactly the right moment...	TIGHT	MODERN	a white human listening to floating music notes, o
233	tiny muscles tug at the base of every hair, trying to make i	THEME	OBJECT	an 'old reflex button' being pressed, little hairs
234	On a furry animal, that is genuinely useful.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
235	A frightened cat puffs up its fur to look bigger and scarier	TIGHT	OBJECT	a grey house cat with its fur PUFFED UP and bristl
236	A cold animal fluffs its coat to trap a warm layer of air.	TIGHT	MODERN	a white human shivering, arms hugged, small blue c
237	It works beautifully... if you have a coat.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
238	You do not.   ⏐   So the muscles pull.	THEME	MODERN	a human getting chills from floating music notes
239	The skin bumps up.	TIGHT	OBJECT	close-up of fur-free white human skin, simple, a c
240	The little hairs stand bravely at attention... and absolutel	TIGHT	OBJECT	a grey tent, a small white figure beside it
241	It is a reflex reaching for fur that left over a million yea	TIGHT	OBJECT	a thick fur coat doodle on a hanger
242	A ghost of a coat.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
243	Every single time you get the chills...	TIGHT	MODERN	a white human listening to floating music notes, o
244	your body is quietly, pointlessly trying to fluff up a coat 	TIGHT	OBJECT	a thick fur coat doodle on a hanger, with a bold R
245	And here is the twist I promised you at the very start.	THEME	OBJECT	an 'old reflex button' being pressed, little hairs
246	The strangest leftover of them all.	TIGHT	MODERN	a white human pointing at the hair still on top of
247	Because there was one time you did have a full coat of fur.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
248	Before you were born.   ⏐   Around the middle of pregnancy..	TIGHT	OBJECT	a swaddled newborn doodle wrapped in a soft blanke
249	a human fetus grows a fine, soft layer of hair across almost	TIGHT	OBJECT	a swaddled newborn doodle wrapped in a soft blanke
250	It is called lanugo.   ⏐   A thin, temporary, full-body coat	TIGHT	OBJECT	a swaddled newborn doodle wrapped in a soft blanke
251	For a few weeks, in the dark, every human being on Earth gro	TIGHT	OBJECT	a thick fur coat doodle on a hanger
252	And then, usually before birth, you shed it.	TIGHT	OBJECT	a swaddled baby doodle wrapped in a soft blanket, 
253	You arrive already naked.	TIGHT	MODERN	a fur-free smooth white human gesturing at their o
254	Now, this is not your body replaying evolution like a tidy l	TIGHT	OBJECT	an evolution line: hunched ape → upright fur-free 
255	That old idea is too neat, and not quite true.	THEME	OBJECT	a faint dashed soft-fuzz outline over a swaddled b
256	But it is very hard not to feel the echo.	THEME	OBJECT	a swaddled newborn doodle wrapped in a soft blanke
257	For a short while, in the dark, you wore the coat.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
258	And then you let it go.	THEME	OBJECT	a swaddled baby doodle in a cozy blanket with a fa
259	You were born already holding the deal your ancestors made.	TIGHT	MODERN	a white human at a tiny market stall refusing a fu
260	Less fur.   ⏐   More sweat.   ⏐   More skin.   ⏐   More brai	TIGHT	ANCESTOR	a white caveman jogging, lots of sweat drops flyin
261	Now, none of this means the trade was free.	THEME	OBJECT	a swaddled newborn doodle wrapped in a soft blanke
262	We are still paying for it.	THEME	OBJECT	close-up of a small patch of skin covered in fine,
263	You still burn after one strong afternoon in the sun.	TIGHT	MODERN	a fur-free white human flexing one arm with a smal
264	You still freeze the second the weather turns.	TIGHT	MODERN	a white human shivering, arms hugged, small blue c
265	You depend on clothes, on fire, on shelter, just to survive 	TIGHT	ANCESTOR	a caveman wrapping a brown animal-hide around the 
266	things a deer does not think about even once.	TIGHT	OBJECT	a simple doodle brain glowing, a small white figur
267	We gave up a coat that worked automatically...	TIGHT	OBJECT	a thick fur coat doodle on a hanger
268	for skin that needs constant managing.	TIGHT	OBJECT	close-up of fur-free white human skin, simple, a c
269	It was not a clean win.	TIGHT	MODERN	a fur-free white human flexing one arm with a smal
270	It was a strange, lopsided bargain.	THEME	OBJECT	a faint dashed soft-fuzz outline over a swaddled b
271	But it is the bargain that built us.   ⏐   So.	THEME	OBJECT	a swaddled newborn doodle wrapped in a soft blanke
272	Why did humans lose their fur?	TIGHT	OBJECT	a thick fur coat doodle on a hanger
273	Because a soft, slow, overheating ape...	TIGHT	OBJECT	a fur-free white figure with sweat drops and wavy 
274	found a stranger, better way to survive.   ⏐   Not with claw	TIGHT	OBJECT	a comparison: a sharp animal claw vs a tiny fur-fr
275	With sweat.	TIGHT	ANCESTOR	a white caveman jogging, lots of sweat drops flyin
276	With skin that could stand in the open sun.	TIGHT	OBJECT	a big bold doodle sun with rays over a small fur-f
